step,loss,direction_accuracy,token_accuracy,tau,learning_rate,timestamp
22000,3.925476302623749,0.5229657496213913,0.07501956900954246,0.0,2.2110604802390898e-05,2025-08-22T01:35:04.001970
22500,3.946945204257965,0.5242641868591309,0.07525097789615393,0.0,2.1789860184227582e-05,2025-08-22T01:37:11.249904
23000,3.9200100955963135,0.5250631085634232,0.07832436349242926,0.0,2.146685575052061e-05,2025-08-22T01:39:18.463440
23500,3.9341851620674135,0.5247950055003167,0.0754041092544794,0.0,2.114191026764925e-05,2025-08-22T01:41:25.750182
24000,3.9184828844070436,0.5220415821671486,0.07600635935366154,0.0,2.0815344417573945e-05,2025-08-22T01:43:33.041263
24500,3.911706742286682,0.5239823833703995,0.07748923607170582,0.0,2.0487480481361948e-05,2025-08-22T01:45:40.278180
25000,3.918687303543091,0.5246037142276764,0.07670841432362795,0.0,2.0158642021134816e-05,2025-08-22T01:47:47.560574
25500,3.922960560321808,0.5237289602756501,0.07586154539883137,0.0,1.9829153560751635e-05,2025-08-22T01:49:57.060740
26000,3.9162275280952454,0.5249882535934448,0.0762274944782257,0.0,1.9499340265543183e-05,2025-08-22T01:52:04.246509
26500,3.9115963983535766,0.5246462766528129,0.07645841442793608,0.0,1.916952762141299e-05,2025-08-22T01:54:11.460623
27000,3.922037833213806,0.5238556708097458,0.07709050823003054,0.0,1.8840041113622044e-05,2025-08-22T01:56:18.667688
27500,3.9199114875793457,0.5223953002095223,0.07472358076274395,0.0,1.851120590557416e-05,2025-08-22T01:58:25.887324
28000,3.921995285511017,0.5240293500423432,0.07587328699231148,0.0,1.818334651791891e-05,2025-08-22T02:00:33.110505
28500,3.9235013856887817,0.5244300340414048,0.07632729879766703,0.0,1.7856786508288978e-05,2025-08-22T02:02:40.304629
29000,3.9201002168655394,0.5255366894006729,0.07689432425796985,0.0,1.753184815198779e-05,2025-08-22T02:04:47.504075
29500,3.9065317096710204,0.5250503869056702,0.07637426549196244,0.0,1.720885212394274e-05,2025-08-22T02:06:54.741035
30000,3.903620532989502,0.524680036187172,0.0766193734332919,0.0,1.6888117182237727e-05,2025-08-22T02:09:01.928430
30500,3.9017550344467162,0.5293679046630859,0.08012426566332578,0.0,1.6569959853537405e-05,2025-08-22T02:11:10.710500
31000,3.9038789463043213,0.5238204468488693,0.07630136929452419,0.0,1.625469412071361e-05,2025-08-22T02:13:17.917385
31500,3.884658175945282,0.5265161426067352,0.07964921656996012,0.0,1.5942631112982144e-05,2025-08-22T02:15:25.093132
32000,3.90249768781662,0.5257534210681916,0.07768346317857504,0.0,1.5634078798855814e-05,2025-08-22T02:17:32.326938
32500,3.9090650868415833,0.5261017578840256,0.07717270012944936,0.0,1.5329341682216688e-05,2025-08-22T02:19:39.549932
33000,3.895468379020691,0.5241046923398972,0.07684686824679375,0.0,1.5028720501807538e-05,2025-08-22T02:21:46.727991
33500,3.905820013046265,0.5249608552455902,0.07756066464632749,0.0,1.4732511934438984e-05,2025-08-22T02:23:53.962945
34000,3.9053176884651184,0.5269481362104416,0.07872162366658449,0.0,1.4441008302205334e-05,2025-08-22T02:26:01.152001
34500,3.8921243410110473,0.5274750437736512,0.07905968634784222,0.0,1.4154497283997936e-05,2025-08-22T02:28:08.330296
35000,3.8994099650382994,0.525744613647461,0.07762035173922777,0.0,1.3873261631600869e-05,2025-08-22T02:30:15.555935
35500,3.8947453112602233,0.524792068719864,0.07797504852712155,0.0,1.3597578890649052e-05,2025-08-22T02:32:24.392780
36000,3.90444566488266,0.5260420701503754,0.07697749470919371,0.0,1.3327721126724232e-05,2025-08-22T02:34:31.610538
36500,3.891310441970825,0.5262221075296402,0.07966731847822667,0.0,1.3063954656859071e-05,2025-08-22T02:36:38.852075
37000,3.893655705451965,0.5262421694993973,0.07842465690523386,0.0,1.2806539786714423e-05,2025-08-22T02:38:46.049976
37500,3.8948326501846315,0.5265435378551483,0.07872651588916779,0.0,1.255573055368904e-05,2025-08-22T02:40:53.260887
38000,3.882716945171356,0.5264109561443329,0.0787089033946395,0.0,1.231177447621536e-05,2025-08-22T02:43:00.478191
38500,3.888797610759735,0.5265352205038071,0.07833023424446582,0.0,1.2074912309488666e-05,2025-08-22T02:45:07.645042
39000,3.8889912185668947,0.5275865919589996,0.07842123217880725,0.0,1.184537780787081e-05,2025-08-22T02:47:14.835364
39500,3.889544342041016,0.5275699557065964,0.07731849277764559,0.0,1.1623397494202847e-05,2025-08-22T02:49:22.038678
40000,3.875963851451874,0.5265846351385116,0.07981408949941397,0.0,1.140919043625436e-05,2025-08-22T02:51:29.217484
40500,3.881671028137207,0.5264574321508407,0.07977446123957634,0.0,1.1202968030530017e-05,2025-08-22T02:53:38.442519
41000,3.876263372898102,0.527684438586235,0.07922553765028716,0.0,1.100493379364673e-05,2025-08-22T02:55:45.699848
41500,3.8694037055969237,0.5275768046379089,0.07946232818067074,0.0,1.081528316148734e-05,2025-08-22T02:57:52.942659
42000,3.858728579521179,0.5284652596712113,0.08107338465750218,0.0,1.0634203296328992e-05,2025-08-22T03:00:00.220345
42500,3.8804379329681398,0.5281134989261628,0.08113943196833134,0.0,1.046187290213656e-05,2025-08-22T03:02:07.469623
43000,3.8681698508262636,0.5276404055356979,0.08087720096856356,0.0,1.029846204820341e-05,2025-08-22T03:04:14.712498
43500,3.875427490234375,0.5244647711515427,0.07844129126518964,0.0,1.0144132001313542e-05,2025-08-22T03:06:21.955759
44000,3.872984567165375,0.5275401132106781,0.08070596810430289,0.0,9.999035066590748e-06,2025-08-22T03:08:29.192762
44500,3.8715770654678345,0.5272455931305885,0.08035029288381339,0.0,9.863314437191833e-06,2025-08-22T03:10:36.455743
45000,3.883004920959473,0.5265665328502656,0.07731360010057688,0.0,9.737104052992258e-06,2025-08-22T03:12:43.737262
45500,3.8783398370742797,0.5283473583459855,0.08019618336856366,0.0,9.62052846840367e-06,2025-08-22T03:14:52.564010
46000,3.8758504309654236,0.5289887436628342,0.07968052758276463,0.0,9.513702729453714e-06,2025-08-22T03:16:59.779930
46500,3.8563659229278566,0.5275410932302474,0.08082387418299913,0.0,9.416732260249508e-06,2025-08-22T03:19:06.978411
47000,3.86647333240509,0.5280078243017197,0.08144716174155474,0.0,9.329712758936768e-06,2025-08-22T03:21:14.128686
47500,3.8637924184799193,0.5277181965112686,0.08127005813270807,0.0,9.252730103257298e-06,2025-08-22T03:23:21.338822
48000,3.852650155544281,0.5295264149904251,0.08241095823049545,0.0,9.185860265798024e-06,2025-08-22T03:25:28.550046
48500,3.8656570701599122,0.5285180975198746,0.08085224993526935,0.0,9.12916923901523e-06,2025-08-22T03:27:35.750180
49000,3.8644735980033875,0.5288385479450226,0.08116144769638776,0.0,9.082712970107954e-06,2025-08-22T03:29:42.994625
49500,3.8408535385131835,0.5299339487552642,0.08383121263980865,0.0,9.046537305804876e-06,2025-08-22T03:31:50.199566
50000,3.868645990371704,0.5280518524646759,0.08061790558695793,0.0,9.020677947119125e-06,2025-08-22T03:33:57.378092
50500,3.8573659467697143,0.5284143780469894,0.08108904037624598,0.0,9.005160414115682e-06,2025-08-22T03:36:06.328400
51000,3.866298936367035,0.527987275838852,0.08119520484656095,0.0,2.9999999985606827e-05,2025-08-22T03:38:13.589657
51500,3.8893230056762693,0.527498037815094,0.07900489176809787,0.0,2.9996387506326135e-05,2025-08-22T03:40:20.832207
52000,3.8933798794746397,0.5263238726854325,0.07872651594132185,0.0,2.9985581327354857e-05,2025-08-22T03:42:28.091276
52500,3.882577317237854,0.5267343403100967,0.07856213247030973,0.0,2.996758885470828e-05,2025-08-22T03:44:35.301662
53000,3.886025965690613,0.5257543993592262,0.07807387425005435,0.0,2.994242241952842e-05,2025-08-22T03:46:42.578374
53500,3.876364804267883,0.5275797427892684,0.08005528315156699,0.0,2.9910099269632855e-05,2025-08-22T03:48:49.860777
54000,3.870874862194061,0.5275053779482841,0.0807363008260727,0.0,2.9870641557693943e-05,2025-08-22T03:50:57.099937
54500,3.8717310519218446,0.5282994089126587,0.07905136935412883,0.0,2.9824076326056496e-05,2025-08-22T03:53:04.352100
55000,3.8780378828048705,0.5275836565494537,0.07888258239626884,0.0,2.9770435488204283e-05,2025-08-22T03:55:11.595485
55500,3.8672718710899354,0.5279828708171844,0.07886007767170668,0.0,2.9709755806888154e-05,2025-08-22T03:57:20.366475
56000,3.8697754797935486,0.5256585093736649,0.07900293485075235,0.0,2.9642078868930672e-05,2025-08-22T03:59:27.572492
56500,3.8850364770889283,0.5277822840213776,0.0802465747743845,0.0,2.9567451056724567e-05,2025-08-22T04:01:34.785468
57000,3.883973934650421,0.5273483332395553,0.07773091907054186,0.0,2.9485923516444585e-05,2025-08-22T04:03:41.958743
57500,3.8936559872627257,0.5264231868982315,0.0773620345890522,0.0,2.9397552122994435e-05,2025-08-22T04:05:49.174893
58000,3.8683151559829714,0.5275058662891388,0.08038894267380238,0.0,2.9302397441712948e-05,2025-08-22T04:07:56.371432
58500,3.8788014416694643,0.525037175655365,0.07776663337647916,0.0,2.9200524686865588e-05,2025-08-22T04:10:03.560772
59000,3.880559139728546,0.5279853177070618,0.07901369797438383,0.0,2.9092003676949877e-05,2025-08-22T04:12:10.760675
59500,3.866534785747528,0.5262857104539871,0.07857387416809797,0.0,2.897690878684525e-05,2025-08-22T04:14:17.942909
60000,3.8631176481246947,0.5271081173419953,0.08155234776437283,0.0,2.8855318896840277e-05,2025-08-22T04:16:25.160600
60500,3.8757778630256654,0.5259907010793686,0.07897798381745816,0.0,2.8727317338572024e-05,2025-08-22T04:18:33.988649
61000,3.883598786354065,0.5270895280838013,0.0781237763389945,0.0,2.859299183791469e-05,2025-08-22T04:20:41.196698
61500,3.8684594469070435,0.5274271010160446,0.07988111487776041,0.0,2.8452434454856732e-05,2025-08-22T04:22:48.416080
62000,3.871812614917755,0.5291482356786728,0.08146086047589779,0.0,2.830574152040749e-05,2025-08-22T04:24:55.644596
62500,3.8655424752235414,0.528010759472847,0.08073581147938967,0.0,2.8153013570576764e-05,2025-08-22T04:27:02.838580
63000,3.874287250995636,0.5266810117959976,0.0796619367301464,0.0,2.7994355277472443e-05,2025-08-22T04:29:10.050202
63500,3.851434684276581,0.5279461802244186,0.08100929497927427,0.0,2.7829875377563446e-05,2025-08-22T04:31:17.218608
64000,3.860221140861511,0.529168293774128,0.08074804230779409,0.0,2.7659686597157236e-05,2025-08-22T04:33:24.378063
64500,3.858902361869812,0.5287348288297653,0.08170058655738831,0.0,2.7483905575142774e-05,2025-08-22T04:35:31.608901
65000,3.8688644547462463,0.5292049847841263,0.08119911874830722,0.0,2.7302652783052084e-05,2025-08-22T04:37:38.836937
65500,3.854476120471954,0.5290826766490936,0.08168003860116005,0.0,2.7116052442495092e-05,2025-08-22T04:39:47.638767
66000,3.8626194195747376,0.5288776853084565,0.08124755295366048,0.0,2.692423244002433e-05,2025-08-22T04:41:54.872405
66500,3.852829689025879,0.5292534197568893,0.08159735754877329,0.0,2.6727324239487856e-05,2025-08-22T04:44:02.100116
67000,3.8529307770729067,0.5303644783496857,0.08277935376763344,0.0,2.652546279193054e-05,2025-08-22T04:46:09.295438
67500,3.8633396224975587,0.530927588224411,0.08176125176250934,0.0,2.6318786443105328e-05,2025-08-22T04:48:16.535136
68000,3.8626195096969607,0.5292098798751831,0.08105039080232382,0.0,2.6107436838658e-05,2025-08-22T04:50:23.710648
68500,3.854127863883972,0.5268542039394378,0.08002886458486319,0.0,2.5891558827050288e-05,2025-08-22T04:52:30.915531
69000,3.8387484993934633,0.5296687840223312,0.0809466724768281,0.0,2.5671300360287998e-05,2025-08-22T04:54:38.158843
69500,3.8423151292800903,0.5285787636041641,0.08248042996972799,0.0,2.5446812392522103e-05,2025-08-22T04:56:45.340588
70000,3.8464066324234008,0.5294770007133484,0.08243933400511741,0.0,2.5218248776592285e-05,2025-08-22T04:58:52.561299
70500,3.844832550048828,0.5297597787380218,0.08261497010290622,0.0,2.498576615858388e-05,2025-08-22T05:01:01.284284
71000,3.854611690998077,0.5283199560642242,0.08044667271524668,0.0,2.4749523870470525e-05,2025-08-22T05:03:08.458542
71500,3.8411290435791017,0.5299305247068405,0.0831487272232771,0.0,2.4509683820915913e-05,2025-08-22T05:05:15.657884
72000,3.834567203998566,0.5311893323659896,0.08365166268497705,0.0,2.4266410384309734e-05,2025-08-22T05:07:22.861363
72500,3.8518300733566284,0.5300919734239579,0.08264677052944899,0.0,2.401987028811366e-05,2025-08-22T05:09:30.053832
73000,3.8581659240722654,0.5298458855748177,0.08177837507426738,0.0,2.3770232498594675e-05,2025-08-22T05:11:37.292594
73500,3.847736786365509,0.5301624233722687,0.08185371775180102,0.0,2.351766810502402e-05,2025-08-22T05:13:44.518655
74000,3.82774453830719,0.5309114454984665,0.08467563524097205,0.0,2.326235020242119e-05,2025-08-22T05:15:51.720251
74500,3.8319682960510253,0.5312181961536407,0.08320156506448984,0.0,2.3004453772923203e-05,2025-08-22T05:17:58.950079
75000,3.83098468542099,0.5293718155622482,0.08345254354178905,0.0,2.2744155565860626e-05,2025-08-22T05:20:06.151736
